Name of Issuer,Title of class,CUSIP,Value,Share,SH,INVSTMT,SOLE,NONE
First Advantage Corp CL A           ,com ,1845f100 , 1771,  73250,SH,Sole, 50594, 22656
First Horizon Pharmaceutical C      ,com ,2051K106 ,17937, 711521,SH,Sole,505099,206422
Flotek (RESTRICTED)                 ,com ,00000000 ,  627,  25000,SH,Sole, 25000,
Flotek Inds Inc.                    ,com ,43389102 , 5157, 205465,SH,Sole, 99900,105565
Focus Media Hldg Ltd ADR            ,com ,4415V109 ,93437,1610429,SH,Sole,031833,578596
Foxhollow Technology                ,com ,5166a103 , 4726, 154700,SH,Sole,112200, 42500
Fuel-Tech N.V.                      ,com ,59523107 ,13117, 820338,SH,Sole,535184,285154
GMX Resources Inc.                  ,com ,8011M108 ,12287, 328087,SH,Sole,227074,101013
"Gaiam, Inc.                         ",com ,6268q103 , 1136,  70500,SH,Sole, 45800, 24700
General Electric Co.                ,com ,69604103 ,  530,  15249,SH,Sole,      , 15249
Glenayre Technologies               ,com ,77899109 ,14298,2723362,SH,Sole,919771,803591
"Golden Eagle Minerals, Inc.         ",com ,80961102 ,    0,  10000,SH,Sole,      , 10000
"Golf Galaxy, Inc.                   ",com ,81639103 , 4534, 207493,SH,Sole,143000, 64493
Graham Corp.                        ,com ,84556106 , 2724, 139700,SH,Sole, 96000, 43700
Hartmarx Corp.                      ,com ,17119104 ,   92,  10696,SH,Sole,      , 10696
Health Grades Inc.                  ,com ,2218q102 , 2979, 558838,SH,Sole,384257,174581
"Healthextras, Inc.                  ",com ,22211102 ,36179,1024898,SH,Sole,582916,441982
"Healthspring, Inc.                  ",com ,2224n101 , 1385,  74400,SH,Sole, 68700,  5700
"Healthways, Inc.                    ",com ,22245100 ,16227, 318558,SH,Sole,218429,100129
Helmerich & Payne                   ,com ,23452101 , 1117,  16000,SH,Sole,  6900,  9100
"Henry Brothers Electronics, In      ",com ,26286100 , 1930, 304000,SH,Sole,209400, 94600
Hercules Offshore                   ,com ,27093109 , 8190, 240825,SH,Sole,174725, 66100
